Year,Month,Date,Rent,Mortgage,Food,Water,Electricity,EMI,Utilities
2024,December,17,43466.81,84100.54,2322,947.32,3846.7,15328.73,825
2023,May,4,7038.38,69711.34,5780,498.16,2827.08,15017.37,2760
2024,December,19,36397.88,39424.97,8865,753.41,6924.93,8075.55,1568
2023,July,2,27473.11,22743.13,7447,335.18,8184.78,15577.88,2650
2024,June,27,11481.95,46326.74,4260,781.93,3135.14,10053.35,336
2023,April,11,6243.83,73905.08,4643,628.28,4003.7,975.23,406
2024,June,12,38677.0,53604.5,2667,573.78,4970.16,13105.74,2179
2024,November,10,41453.54,23010.78,305,174.16,8066.43,13188.12,4956
2023,March,4,24354.6,21119.18,6883,232.27,9255.95,11821.05,3638
2023,December,11,30046.61,38373.54,9971,609.17,465.3,3661.89,3650
2023,July,1,27311.01,16299.07,1153,412.54,835.4,14306.71,3916
2024,August,1,27995.5,77459.38,8376,658.24,4592.49,6255.68,1547
2024,November,1,23819.28,35298.94,1263,845.75,5320.98,10818.4,4240
2024,April,28,42047.39,86405.26,7422,931.89,2226.55,14553.05,1566
2024,February,10,14237.36,51628.76,8762,539.55,6130.94,14508.03,2774
2023,October,14,46963.87,42237.89,6845,884.51,6807.32,65.02,374
2023,December,12,45192.92,60977.89,970,898.28,7042.25,15302.4,4952
2023,January,14,38866.8,72490.18,3499,530.4,7055.6,5877.7,1766
2024,April,3,47009.47,42750.34,7514,688.85,8569.26,11673.78,2540
2023,February,13,39681.08,77030.87,8253,215.49,2026.06,15980.74,872
2024,April,30,25788.95,43475.8,7623,508.17,226.42,6594.36,2250
2023,August,8,42200.1,83291.41,6862,578.76,9671.53,8101.95,429
2023,December,22,4475.59,45076.54,5761,291.96,7315.72,9799.16,4783
2024,June,2,5724.21,98737.32,6615,121.6,9949.72,15228.41,3613
2024,May,19,34451.84,33059.68,2319,984.2,8132.72,4893.36,3315
2024,March,20,22484.18,95923.84,5304,437.16,5575.67,7294.13,4571
2024,February,13,37388.6,22587.45,7617,689.03,5904.98,15134.07,4457
2023,June,17,36936.72,87906.39,9689,452.03,2156.9,13781.22,4406
2024,December,30,2480.35,47763.98,5557,654.61,1538.57,5078.83,1957
2023,May,3,32742.65,16155.97,2377,762.84,1118.97,10533.27,1639
2023,June,16,48193.11,56254.83,1386,403.8,2760.32,10007.1,2029
2023,March,3,45150.04,83595.52,7322,735.32,2583.29,16550.29,4855
2023,June,27,30452.63,80978.93,9765,694.84,2490.53,3239.22,2993
2023,July,23,8734.67,93281.95,8894,709.6,3301.44,3652.73,225
2024,May,12,8232.91,98530.87,2135,539.84,1739.6,15101.57,2784
2023,March,19,16221.47,98849.6,3217,717.81,6028.7,12570.5,4278
2023,February,2,15941.85,38177.21,9250,783.83,2361.5,4044.63,710
2023,March,7,19234.12,47727.19,7429,404.24,8938.62,14645.81,3833
2023,March,7,24088.69,44760.06,3515,328.12,5074.56,7376.05,2024
2024,March,5,35000.09,83505.25,9127,300.96,4399.16,269.47,1077
2024,August,22,18541.18,83757.11,4310,791.62,6259.9,13748.48,177
2023,October,19,13986.56,46337.74,4551,316.35,5994.46,4947.47,3761
2024,July,20,10518.77,87338.98,1120,411.66,6255.65,11650.12,979
2024,April,13,19416.75,65884.32,6247,672.69,9565.04,17385.48,3989
2023,November,24,44565.34,23567.18,7641,165.39,2319.21,1176.61,3973
2024,June,14,22215.13,82980.94,8324,837.52,7002.19,11716.91,2134
2023,February,5,39644.13,50710.29,5131,621.48,3988.33,18003.94,3087
2023,March,16,47035.29,38691.0,3699,740.68,6044.02,12904.29,232
2023,September,5,35135.23,85249.73,4810,466.34,3409.85,7612.1,2760
2023,May,30,22680.22,14174.47,5458,793.07,7388.4,13503.13,702
2023,June,12,42242.66,71983.78,7246,972.9,4858.96,12108.67,1111
2024,October,17,9324.98,85971.68,302,691.63,457.71,13599.91,3044
2023,October,14,5331.45,83214.71,8673,810.41,3784.07,16906.02,1996
2023,May,16,28566.88,38821.48,9866,587.74,2124.17,9248.54,3007
2024,December,18,32284.4,53687.02,3538,317.58,8461.98,15533.02,3783
2023,March,15,22462.75,12262.12,6589,268.19,8800.51,6864.41,1049
2023,May,30,4119.35,35480.66,4283,151.95,4673.49,15419.12,3471
2024,February,29,5330.4,76840.14,8051,391.11,6050.01,17328.19,4045
2024,December,23,16787.27,43965.1,7281,249.97,9552.23,691.05,4930
2024,June,7,35096.57,31597.94,3388,142.7,4540.24,10247.15,3110
2024,August,20,13611.73,52359.09,6613,336.76,9951.14,18244.29,1229
2024,July,22,45133.28,72758.94,49,531.56,987.62,7285.55,4601
2023,April,18,3846.4,74489.99,6177,773.45,2943.04,19391.97,3411
2023,December,19,31510.24,82899.2,8480,897.24,4413.92,6048.94,4273
2023,November,19,9628.19,73286.43,216,510.44,1046.87,4313.16,3798
2024,November,4,33133.75,53167.46,9827,232.43,836.28,4661.15,1838
2023,June,24,47620.1,70403.64,4437,259.91,1071.27,11362.43,4705
2024,September,13,2110.79,78328.66,4663,202.56,3235.19,17945.55,4402
2023,November,29,37225.96,50132.63,9539,995.56,2743.93,6392.34,2765
2023,November,12,40289.21,20053.89,9868,390.93,9761.34,2539.11,2585
2023,October,12,16281.11,15272.02,4415,155.16,2172.66,10743.55,941
2024,September,9,16136.55,91994.97,127,501.08,5115.43,18934.1,4207
2024,April,29,38920.29,92970.1,7749,351.22,1956.73,4090.73,109
2024,August,14,47307.37,89935.55,7803,949.52,9039.75,1022.74,3240
2024,October,8,9128.48,12141.86,2677,933.33,5996.22,4893.21,2454
2023,June,23,18153.29,41429.45,9185,504.63,6521.23,2568.1,2578
2023,September,17,30087.65,76855.26,472,103.59,607.35,1625.98,4916
2023,February,8,46535.89,21610.29,2831,667.39,1833.72,9672.47,2651
2024,October,29,11849.74,53410.29,6223,487.22,350.36,495.77,4302
2023,July,11,14859.27,28783.62,434,997.41,7379.76,17720.5,3180
2023,June,13,27524.3,14558.76,1487,281.69,9046.98,7226.08,4374
2024,January,29,37739.7,79234.88,4204,171.17,7885.47,16490.17,2658
2023,December,30,33735.34,50857.11,9640,520.21,6538.58,15496.94,4263
2023,August,30,10339.27,97746.86,3435,870.42,5263.92,14442.92,350
2024,August,1,34028.51,20133.63,4179,896.54,501.99,8308.39,3193
2024,April,9,47279.95,86374.86,710,989.9,7544.24,13908.06,4174
2024,September,16,10227.63,52241.37,3461,161.96,9761.13,15841.87,4093
2023,April,9,20273.37,18825.13,5483,565.75,9273.97,7602.2,2967
2023,April,16,15152.98,29154.45,506,129.27,7400.74,5118.53,1986
2023,November,10,48957.68,97375.35,3883,960.22,3063.96,8318.3,3238
2023,September,16,24088.52,59696.05,2204,680.68,230.64,5480.76,2847
2023,July,8,24300.82,98668.62,2104,199.86,4171.52,3856.35,4994
2023,May,19,29461.38,51050.12,1007,972.15,7319.08,6720.74,1294
2023,December,4,27690.23,69380.49,4189,452.95,806.97,1201.78,413
2023,December,3,8393.25,75274.12,2270,163.91,788.41,19588.86,234
2024,June,27,8034.72,55723.77,6261,151.25,1584.84,406.57,1903
2023,June,13,16166.14,31182.78,1649,109.07,1767.78,9219.9,2506
2024,September,2,12969.19,43739.87,1685,925.21,6186.26,7888.64,2867
2023,October,20,8917.41,71575.12,163,659.88,3586.22,11483.18,4389
2024,July,9,12225.47,82745.77,1143,885.09,2853.77,8382.61,1272
2024,November,15,24747.63,66733.44,1689,738.18,8384.87,17334.03,2972
2023,May,3,4000.8,84932.16,9019,721.5,3116.53,2358.43,1692
2024,July,20,47240.95,18752.01,3968,991.23,1397.26,7941.92,247
2023,October,20,16800.56,82773.32,5769,429.64,8293.22,10914.79,1866
2023,February,2,49267.02,21885.4,2092,944.11,5278.77,15126.22,1973
2023,January,13,35222.61,49014.97,8695,241.79,3807.39,6577.83,1066
2023,December,4,38840.16,36577.46,9750,122.58,1400.42,4598.24,4715
2023,June,18,46144.58,38789.31,1543,471.34,9396.61,14395.89,4894
2023,March,27,19435.73,29851.0,9823,898.15,6089.27,9565.54,543
2023,July,22,29595.79,47530.91,5211,786.3,8778.37,2034.08,4887
2023,May,3,35642.22,62204.35,9149,340.25,9047.16,18332.74,1671
2023,July,3,32746.07,26677.77,5859,678.99,4179.14,15629.84,3690
2023,January,10,12436.1,91447.09,1581,685.64,3401.08,9088.72,4624
2023,August,25,32568.7,59087.21,6269,246.77,4763.82,5160.69,4537
2023,November,11,24219.55,62180.09,5823,699.75,6366.51,18745.37,3287
2023,December,24,42961.45,28084.63,4109,860.98,8669.13,4290.91,1046
2023,January,11,46642.92,53360.05,2708,571.95,9842.42,2751.21,2851
2024,December,27,40513.2,54401.2,5540,886.92,539.95,11749.59,3484
2023,January,14,43956.95,76636.8,7521,510.32,5679.96,16271.79,3196
2024,October,8,24799.6,38634.32,3692,871.03,9194.27,7188.74,3199
2023,October,14,44783.22,34697.94,2247,999.25,5633.35,4032.08,4299
2024,February,28,9355.02,89717.45,2627,782.88,970.11,3749.97,4458
2023,May,12,15433.29,60849.95,542,695.28,7168.75,6071.44,2169
2023,November,2,21722.43,94292.45,6386,165.39,244.92,2604.13,921
2024,September,20,46030.35,30374.86,4323,569.99,6063.86,11669.83,353
2024,December,10,36033.57,32436.06,9863,705.91,4711.08,10358.58,1525
2024,September,3,46429.28,96823.54,4358,105.06,2700.31,16467.37,2466
2024,April,1,14737.5,60763.2,601,642.02,2816.35,10012.48,1779
2023,November,21,14498.24,88356.81,8134,575.9,7960.7,18350.77,3104
2023,June,13,12992.95,74105.81,5291,524.38,7666.24,3953.98,394
2023,June,29,5799.8,64437.79,2094,566.27,3504.75,14496.37,3339
2024,August,23,49287.61,49551.19,4083,904.97,1559.64,6849.2,2505
2023,March,28,40876.53,35966.24,6328,428.31,4826.23,11859.61,1798
2023,May,20,11413.84,15384.59,2985,624.4,781.05,8869.12,1318
2024,January,17,24557.8,64741.85,3594,716.74,9899.97,4615.8,4364
2023,January,8,7199.28,68797.79,7214,274.96,322.14,5300.26,4185
2023,April,19,33000.54,54073.09,2587,895.88,8975.49,6953.54,3978
2024,May,30,28532.71,38941.84,4237,131.87,8249.7,9238.43,198
2024,January,19,17721.76,36267.53,239,765.22,6193.31,17810.71,4727
2024,January,25,15076.64,45675.94,831,827.58,8905.65,5267.54,3191
2024,February,6,15958.1,55579.59,175,516.46,3890.15,5506.17,2674
2023,July,2,3933.36,50427.56,2877,240.26,2418.96,6732.15,800
2023,March,16,3170.07,95241.84,7519,123.25,237.13,7231.34,1303
2024,February,7,9102.36,96588.03,5568,870.57,5960.01,17658.18,438
2023,March,18,22338.76,11465.17,7317,280.0,2500.57,13534.41,3652
2024,March,20,13994.57,78953.58,8890,677.22,7709.14,6917.77,1548
2024,December,16,44180.1,34771.76,1932,956.61,6866.61,2934.47,3850
2024,July,7,27670.91,50556.52,4029,447.92,3634.28,1433.58,1128
2024,January,18,15648.11,46139.8,2385,662.81,455.7,10344.92,1065
2024,February,6,18373.78,12956.85,5473,151.04,6382.04,15128.03,2786
2024,February,4,40710.83,93526.59,8906,847.9,7065.39,14603.06,1634
2023,October,27,32938.95,11646.28,8877,289.15,8152.15,16278.28,2533
2024,March,16,27544.75,46432.32,5832,250.0,7488.23,16618.67,4025
2024,September,26,14207.39,65446.07,144,210.53,2485.71,16717.73,394
2024,October,3,12711.22,12267.04,33,954.83,9806.6,9735.8,4457
2023,September,23,43726.64,81342.0,6216,279.4,8617.54,14693.98,1000
2024,February,20,10390.49,37524.31,9513,995.76,1546.43,10672.64,3987
2024,August,19,27281.03,15071.01,8038,517.0,9555.79,19252.44,1110
2024,April,4,36923.52,51423.92,9706,894.95,1459.03,11345.93,3016
2023,August,21,11788.33,38966.26,4347,764.04,6991.68,15381.85,3126
2024,January,7,10412.31,71609.2,4386,410.03,3172.06,5949.43,2816
2023,July,25,43649.02,93219.23,6336,280.22,7637.38,16464.34,4098
2023,October,12,9667.04,19340.91,9721,404.25,5827.85,16143.74,204
2024,November,21,7674.02,14965.61,660,420.01,6534.9,1019.23,666
2024,December,7,46281.64,74068.51,6277,723.66,1912.18,10720.97,3497
2023,July,4,40065.18,33315.53,3801,986.72,541.63,4354.17,3702
2024,March,19,8291.66,63071.69,3737,999.1,5595.71,15162.87,3844
2024,June,9,5325.25,53105.04,2714,159.37,9268.58,11609.31,4241
2023,January,19,1069.1,68395.08,6965,445.3,2582.83,7018.59,1174
2024,October,18,8152.18,62694.27,6133,748.94,5823.69,6047.77,852
2024,August,30,30239.55,68312.61,4404,467.45,825.6,9166.04,1903
2023,July,30,12526.89,93300.37,2195,209.85,4837.35,12485.7,3188
2023,September,12,17265.73,96843.63,7474,171.35,5611.49,8169.13,4266
2024,November,19,46731.07,25039.76,3356,861.26,9386.72,15322.96,3679
2023,July,6,42548.53,14312.16,6285,345.08,2700.89,18592.13,2794
2023,June,13,14476.6,51578.12,3327,895.35,5801.82,11175.79,2295
2023,November,5,4198.5,31044.19,3004,483.19,1068.71,14261.0,4296
2023,August,19,17059.38,52137.1,5182,367.38,8142.71,11014.87,1454
2023,September,12,43460.85,87541.77,6703,580.01,6895.16,5997.83,1143
2023,October,15,41949.07,41037.61,7597,987.45,2157.81,8550.68,2641
2024,January,8,25210.24,17563.6,6407,768.14,8717.83,1046.04,2495
2024,August,29,13274.82,11393.74,6378,968.58,1820.83,16337.22,372
2024,October,18,10298.04,60306.02,3970,697.22,2298.29,18295.29,592
2023,November,29,42417.18,30945.02,974,746.64,4826.76,11364.55,1694
2023,June,23,7501.38,27305.87,3120,321.34,1414.58,12536.24,890
2024,June,11,39479.18,81812.05,734,200.07,7564.35,2756.17,2100
2024,June,8,29306.72,34815.77,8308,731.84,3384.52,13443.79,2391
2023,September,29,41734.64,37813.14,4927,191.87,7925.45,15357.4,2916
2023,November,22,15048.24,68645.0,5749,916.21,7616.71,1904.14,1922
2024,July,19,23602.11,95057.14,9230,419.2,1107.21,7841.4,3171
2024,December,3,10645.11,60461.54,7931,456.09,7465.66,1576.76,3200
2024,June,5,19885.6,19023.48,9498,592.82,3375.65,12356.09,4193
2023,January,27,18085.87,21854.05,3897,739.08,4994.74,11438.16,2445
2024,October,10,25287.02,98878.54,9244,606.12,7720.29,5656.47,2851
2024,August,19,49111.5,60517.88,6736,443.71,7697.34,9089.22,4920
2024,May,18,11783.03,78683.77,9966,631.87,4250.83,472.48,2462
2024,January,15,32672.35,32705.23,4829,360.62,9848.03,11633.54,101
2024,July,30,42403.16,62332.3,3230,308.09,8962.83,5301.34,2232
2023,September,22,13023.66,67639.74,7813,738.84,2392.6,8701.77,2801
2023,June,20,19907.53,81465.55,3514,967.98,5938.02,6366.89,2885
2024,August,25,3027.26,51628.23,3107,535.35,585.6,9315.07,3998
2023,September,13,13387.95,83290.64,6222,836.2,5361.64,13976.98,2729
2023,January,22,6892.68,53272.23,5543,810.56,8151.92,16848.23,1194
2023,August,28,44761.73,88171.85,9067,655.19,672.76,13641.29,3421
2023,February,15,49443.81,54847.1,4029,333.55,2438.71,9232.45,3150
2023,January,19,31856.47,53496.7,4620,571.48,688.76,6486.7,4661
2023,April,13,23690.17,72576.98,1626,309.51,7997.81,7940.89,3026
2023,November,25,20086.15,97336.17,1286,349.15,9307.8,7302.91,3837
2023,December,19,29429.12,75633.19,1331,654.74,3435.76,685.89,4869
2023,April,19,11678.8,27678.92,6738,428.87,1637.05,675.5,2928
2023,April,1,23542.74,78891.06,9844,214.25,3878.33,14479.57,1944
2024,January,4,10957.26,20895.37,6361,140.09,5933.78,12584.6,509
2023,May,18,17643.9,39687.69,6528,678.72,1419.58,9975.21,169
2024,June,8,930.52,74006.72,1050,127.82,7913.61,1204.95,1786
2023,November,7,24766.0,45843.52,4627,696.31,8216.1,19728.11,1145
2024,May,15,2027.64,30620.91,4415,379.59,4780.81,11630.76,409
2023,November,29,37182.99,61474.94,4362,797.25,4731.04,4896.67,302
2024,March,4,21501.48,83659.38,9839,176.75,4792.5,8580.67,1157
2024,February,4,15551.64,33323.87,6991,402.23,7374.74,15228.91,3958
2024,January,2,44963.73,82890.36,6117,552.03,3875.37,14966.59,4989
2023,February,14,5779.65,24211.61,2286,299.37,6289.67,104.71,4267
2024,May,2,48888.59,98178.08,8226,204.41,2409.4,1901.63,3415
2023,June,16,30891.99,98790.48,9211,608.47,9707.61,15353.28,4873
2023,June,4,16642.72,45134.44,4511,634.63,9586.12,10490.86,1245
2024,August,23,42840.22,22151.58,9727,630.37,6193.49,10967.55,1418
2023,May,20,11252.31,37753.53,6951,472.81,3007.59,5795.56,3668
2024,June,21,41016.9,31578.11,3334,642.18,5345.21,19732.33,933
2024,September,13,9927.35,69836.47,1581,619.75,9012.0,18120.9,4294
2023,July,17,11775.19,99485.73,4667,752.18,6386.26,17766.03,4332
2024,October,1,15973.91,61033.27,9850,451.72,5324.84,19996.07,4323
2024,June,6,32683.96,80627.7,3714,323.03,5952.1,12937.9,4603
2023,April,4,32093.48,80609.8,1186,961.16,3040.37,10207.47,4031
2024,June,2,30591.37,71566.59,9770,767.98,4882.95,19363.78,1121
2023,April,29,18022.4,21454.26,1198,778.76,3848.97,940.04,4319
2023,May,29,23229.18,86962.69,1730,540.83,4074.56,12271.4,4128
2023,October,1,19530.0,34751.17,5934,780.33,4671.42,5625.54,4488
2024,September,9,5962.51,35142.42,8678,837.04,3511.36,12384.31,1641
2023,May,16,14891.2,28470.56,2276,927.1,4612.16,9529.05,2631
2023,October,12,18404.27,83868.92,5488,334.46,4144.96,19740.01,3472
2024,May,1,4824.7,13405.41,9881,918.0,3836.34,5561.25,3021
2024,August,10,10656.51,44895.34,9530,516.72,8119.17,4548.72,1650
2023,April,17,21323.87,40378.28,394,880.58,7092.38,15293.44,819
2024,December,12,44573.8,93220.84,9993,574.16,6744.84,12679.92,2150
2024,November,21,38841.49,50785.46,1199,593.04,7963.85,11159.41,3350
2024,June,22,2618.1,76672.01,4599,278.1,6690.17,14065.36,2209
2024,February,29,6116.76,95120.23,2475,874.1,7427.33,3748.97,4657
2023,June,19,2209.34,42367.65,7835,662.06,7703.22,19685.02,2486
2024,January,3,34898.23,18455.96,6735,747.87,2390.12,17178.76,3860
2023,February,26,11727.25,50999.77,4562,263.13,1393.69,18138.76,2272
2023,April,24,8287.41,78076.14,8300,656.35,8459.29,10923.6,3326
2024,March,6,17130.02,29179.21,1345,584.01,8508.72,18220.99,3312
2024,June,29,37480.84,96251.17,3264,714.5,1296.61,12394.72,3005
2023,January,13,768.04,96577.58,4879,434.3,3206.28,16158.07,1241
2023,May,3,24476.48,47394.92,8422,143.35,7048.6,15768.07,2118
